19.06.2023. 00:20:34|INFO |WebSocketMessageBrokerStats|WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 6]
|19.06.2023. 00:50:36|INFO |WebSocketMessageBrokerStats|WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 7]
|19.06.2023. 01:20:36|INFO |WebSocketMessageBrokerStats|WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 8]
|19.06.2023. 01:36:33|INFO |[/]                 |Initializing Spring DispatcherServlet 'dispatcherServlet'
|19.06.2023. 01:36:33|INFO |DispatcherServlet   |Initializing Servlet 'dispatcherServlet'
|19.06.2023. 01:36:33|INFO |DispatcherServlet   |Completed initialization in 422 ms
|19.06.2023. 01:36:58|INFO |UserController      |User successfully logged in fromIP:0:0:0:0:0:0:0:1 HOST:0:0:0:0:0:0:0:1PORT:59282
|19.06.2023. 01:36:58|INFO |UserController      |User successfully logged in fromIP:0:0:0:0:0:0:0:1 HOST:0:0:0:0:0:0:0:1PORT:59281
|19.06.2023. 01:39:36|INFO |UserController      |User successfully logged in fromIP:0:0:0:0:0:0:0:1 HOST:0:0:0:0:0:0:0:1PORT:59395
|19.06.2023. 01:39:37|INFO |UserController      |Admin found and checked if is initial4
|19.06.2023. 01:39:37|INFO |UserController      |Logged in user4
|19.06.2023. 01:40:49|INFO |UserController      |Admin found and checked if is initial4
|19.06.2023. 01:40:49|INFO |UserController      |Logged in user4
|19.06.2023. 01:41:58|ERROR|UserController      |Bad credentials
|19.06.2023. 01:42:09|INFO |UserController      |User successfully logged in fromIP:0:0:0:0:0:0:0:1 HOST:0:0:0:0:0:0:0:1PORT:59511
|19.06.2023. 01:42:09|INFO |UserController      |Logged in user1
|19.06.2023. 01:42:13|INFO |CustomPermissionEvaluator|User  has permission to access this resource
|19.06.2023. 01:42:13|ERROR|ProjectManagerController|Getting all projects for project manager
|19.06.2023. 01:42:39|INFO |UserController      |Logged in user1
|19.06.2023. 01:42:39|INFO |UserController      |Admin found and checked if is initial1
|19.06.2023. 01:46:31|INFO |SimpleBrokerMessageHandler|Stopping...
